Quicksort recur, array[50], k = 1
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
total time: ,,
5055400,,
quicksort recur, array[50], k = n
k = 50, is 100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
total time: ,,
10191300,,
